Power(watts)','Distance(metres)','Heartrate(BPM)','Speed(m/s)','WindSpeed (m/s)','Cadaence(revs/s)','Elevation(meters)','Hill slope(%)','Temperature(C )','Penalty (to be minimized)','Cluster'
0,0,57,1.4305,1.6093,0,55.778,-2.85,25.556,254.2,3
0,0,57,1.654,2.9505,0,55.778,-4.4,25.556,254.2,3
0,0,57,2.5034,3.174,0,55.778,-5.85,25.556,254.2,3
0,16.093,61,2.5034,3.8445,0,55.778,-6.3,25.556,254.2,3
0,16.093,62,2.5481,3.2187,0,55.778,-5.62,25.556,254.2,3
0,16.093,64,2.5481,4.381,0,55.778,-4.75,25.556,254.2,3
0,16.093,65,2.6822,4.4704,0.26667,55.778,-3.45,25.556,346.32,3
19.51,16.093,68,2.8163,4.1128,0.51667,55.169,-2.14,25.556,412.16,3
48.47,16.093,69,3.1293,3.8445,0.6,55.169,-1.62,25.556,453.42,3
70.79,32.187,71,3.5316,3.8445,0.66667,55.169,-0.69,25.556,472.4,3
91.38,32.187,75,3.8892,4.0233,0.75,55.169,-0.3,25.556,466.88,3
100.72,32.187,76,4.2022,4.7833,0.8,55.169,-0.29,25.556,410.69,3
106.93,32.187,79,4.4257,4.2022,0.81667,55.169,-0.05,25.556,410.69,3
112.86,48.28,80,4.5151,3.7551,0.9,55.169,0.69,25.556,444.16,3
117.97,48.28,83,4.6045,3.8892,0.93333,55.169,0.83,25.556,447.48,3
98.55,48.28,83,4.7833,3.0846,0.71667,55.169,0.87,25.556,448.05,3
0,64.374,84,4.6492,2.861,0,55.169,1.29,25.556,451.54,3
0,64.374,84,4.4257,3.0846,0,55.169,1.3,25.556,445.19,3
43.77,64.374,84,4.4704,3.7998,0.43333,55.169,1.59,25.556,441.59,3
82.79,64.374,85,4.6939,3.621,0.91667,55.169,1.87,25.556,444.41,3
98.74,80.467,85,4.828,3.3081,0.93333,55.169,1.84,25.556,450.91,3
86.58,80.467,85,4.828,3.0399,0.95,55.169,1.59,25.556,462.87,3
102.14,80.467,85,4.7833,3.2634,0.98333,55.169,1.73,25.556,378.08,3
115.68,96.56,86,4.8727,3.8445,1.0167,55.474,1.65,25.556,378.08,3
123.68,96.56,86,5.0068,4.3363,1.0333,55.474,1.68,25.556,448.7,3
114.62,96.56,87,5.0068,4.2469,1.05,55.474,1.81,25.556,514.04,3
73.01,96.56,88,5.0068,3.9786,0.85,55.474,1.22,25.556,549.4,3
0,112.65,89,4.7386,3.8892,0.2,55.778,1.34,25.556,573.31,3
0,112.65,89,4.4704,2.9952,0,55.778,1.54,25.556,566.81,3
0,112.65,89,4.2916,2.5928,0,55.778,1.35,25.556,513.56,3
0,128.75,89,4.0233,2.3246,0,55.778,1.86,25.556,416.56,3
0,128.75,87,3.7551,1.967,0,56.998,2.37,25.556,295.2,3
0,128.75,87,3.5316,2.0564,0,56.998,3.27,25.556,230.12,3
63.27,128.75,87,3.9339,2.414,0.75,56.998,3.97,25.556,273.23,3
40.37,144.84,87,4.381,4.7386,0.9,56.998,3.88,25.556,327.08,3
0,144.84,87,4.8727,5.9456,1,57.302,2.88,25.556,363.62,3
30.57,144.84,87,5.0515,6.0797,1.05,57.302,1.39,25.556,371.26,3
63.82,144.84,88,5.2304,5.588,1.1,57.302,0.2,25.556,355.37,3
82.97,160.93,89,5.4986,5.6327,1.15,57.302,-0.7,25.556,310.99,3
90.37,160.93,91,5.6774,5.6327,1.1833,57.302,-0.99,25.556,317.56,3
88.85,177.03,92,5.8115,5.9903,1.2,57.302,-0.98,25.556,308.16,3
89.35,177.03,92,5.9009,5.7668,1.2167,57.302,-0.87,25.556,185.66,3
88.83,177.03,93,5.9903,6.1691,1.2333,57.302,-0.66,25.556,76.918,3
84.24,193.12,93,6.035,6.3032,1.25,57.302,-0.55,25.556,35.434,3
83.57,193.12,93,6.0797,6.0797,1.2667,57.302,-0.64,25.556,35.932,3
84.73,193.12,93,6.1691,6.7503,1.2833,57.302,-0.74,25.556,54.106,3
86.95,209.21,92,6.2585,8.002,1.3,57.302,-0.74,25.556,73.263,3
94.08,209.21,92,6.3032,8.4937,1.3167,57.912,-0.73,25.556,88.557,3
93.15,225.31,92,6.3032,8.1361,1.3167,57.912,-0.53,25.556,109.43,3
101.17,225.31,91,6.2585,8.1808,1.3,57.912,-0.43,25.556,120.97,3
105.2,225.31,91,6.2585,8.8067,1.3,57.912,-0.33,25.556,126.86,3
107.18,241.4,90,6.2138,8.002,1.2833,58.217,-0.23,25.556,142.9,3
114.19,241.4,90,6.2138,7.9573,1.3,58.217,-0.43,25.556,158.84,3
117.21,257.49,90,6.2585,8.9855,1.3,58.217,-0.53,25.556,175.15,3
121.17,257.49,90,6.2138,8.9855,1.3,58.217,-0.33,25.556,173.15,3
133.16,257.49,100,6.2138,9.969,1.3,57.302,-0.43,25.556,171.08,3
141.15,273.59,100,6.2585,10.058,1.3,57.302,-0.33,25.556,170.68,3
146.08,273.59,100,6.2138,9.9243,1.3,57.302,-0.23,25.556,153.55,3
147,273.59,100,6.1691,10.014,1.2833,57.302,-0.33,25.556,130.86,3
148.97,289.68,100,6.1691,9.1643,1.2833,57.302,-0.23,25.556,101.04,3
155.89,289.68,108,6.1244,8.4937,1.2833,57.302,-0.14,25.556,73.251,3
152.84,305.77,108,6.1691,8.5384,1.2833,57.302,-0.24,25.556,74.249,3
146.78,305.77,108,6.2138,8.0914,1.2833,57.302,-0.34,25.556,88.202,3
140.76,305.77,108,6.2585,8.0914,1.3,57.302,-0.44,25.556,102.59,3
134.68,321.87,108,6.2585,7.7338,1.3,57.302,-0.54,25.556,115.27,3
132.6,321.87,108,6.3032,7.5103,1.3167,57.302,-0.44,25.556,123.77,3
129.51,337.96,108,6.348,8.4937,1.3167,57.302,-0.35,25.556,107.65,3
126.41,337.96,108,6.348,8.3596,1.3167,57.302,-0.35,25.556,88.191,3
123.25,337.96,108,6.348,9.209,1.3167,57.302,-0.25,25.556,69.174,3
120.14,354.05,108,6.348,9.2537,1.3167,57.302,-0.45,25.556,55.329,3
124.04,354.05,108,6.348,8.2255,1.3167,57.302,-0.46,25.556,44.182,3
120.91,370.15,108,6.3032,8.0914,1.3167,56.998,-0.56,25.556,33.365,3
120.81,370.15,108,6.3927,8.5831,1.3333,56.998,-0.66,25.556,33.073,3
118.68,370.15,108,6.4374,8.2255,1.35,56.998,-0.86,25.556,45.152,3
125.56,386.24,108,6.5715,10.014,1.3667,56.998,-1.27,25.556,84.514,3
121.41,386.24,108,6.6162,11.131,1.3667,56.693,-1.27,25.556,85.232,3
115.34,402.33,122,6.6162,12.249,1.3667,56.693,-1.67,25.556,124.81,3
132.19,402.33,122,6.6162,11.802,1.3667,56.693,-1.68,25.556,180.22,3
144.74,402.33,122,6.5715,11.087,1.3667,56.693,-1.46,25.556,205.33,3
130.72,418.43,122,6.5268,10.416,1.35,55.778,-1.84,25.556,208.82,3
154.47,418.43,122,6.5715,9.2537,1.3667,55.778,-1.63,25.556,200.89,3
171.29,434.52,122,6.7056,9.2984,1.4,55.778,-1.61,25.556,182.54,3
169.1,434.52,122,6.795,7.8232,1.4,55.778,-1.8,25.556,150.62,3
165.48,434.52,129,6.8844,7.7785,1.3667,55.778,-1.59,25.556,148.34,4
152.19,450.62,129,6.9738,8.5384,1.3667,55.778,-1.28,25.556,166.69,4
143.46,450.62,129,7.0632,7.5103,1.3833,55.778,-1.27,25.556,182.3,4
135.86,466.71,125,7.1079,8.002,1.3833,55.778,-1.17,25.556,205.02,4
134,466.71,126,7.1079,8.8961,1.3833,55.474,-0.86,25.556,184.32,4
125.95,482.8,126,7.1526,9.0749,1.4,55.474,-0.97,25.556,153.69,4
119.8,482.8,126,7.1526,9.3431,1.4,55.474,-1.07,25.556,113.62,4
115.59,498.9,126,7.1526,8.8067,1.4,55.474,-1.17,25.556,97.778,4
127.38,498.9,126,7.1973,7.8232,1.4,54.864,-1.28,25.556,97.371,4
125.94,498.9,126,7.1973,7.8679,1.4167,54.864,-1.19,25.556,111.94,4
120.7,514.99,126,7.242,7.7785,1.4167,54.864,-1.09,25.556,156.11,4
111.25,514.99,126,7.2867,7.1973,1.4333,54.864,-1.1,25.556,194.58,4
104.85,531.08,126,7.3761,6.8844,1.4333,54.559,-1.31,25.556,195.75,4
97.42,531.08,126,7.4208,9.6113,1.45,54.559,-1.32,25.556,193.33,4
77.96,547.18,140,7.3761,11.399,1.4333,54.559,-1.53,25.556,195.25,4
71.63,547.18,140,7.1973,11.399,1.4167,54.559,-1.23,25.556,217.79,4
90.36,563.27,140,7.1079,11.176,1.3833,53.34,-1.03,25.556,233.63,4
110.97,563.27,140,6.9738,10.64,1.3667,53.34,-1.04,25.556,246.97,4
128.77,563.27,144,6.9738,9.8349,1.3667,53.34,-1.15,25.556,261.48,4
140.61,579.36,144,7.0185,10.237,1.3667,53.34,-1.35,25.556,273.16,4
135.42,579.36,144,6.9738,10.55,1.3667,53.34,-1.35,25.556,246.02,4
132.21,595.46,144,6.8844,9.9243,1.35,53.34,-1.36,25.556,168.51,4
137.04,595.46,144,6.8397,9.8349,1.3333,53.34,-1.06,25.556,94.851,4
143.81,611.55,144,6.8397,9.3431,1.3333,53.34,-0.96,25.556,52.09,4
142.67,611.55,144,6.8397,8.9408,1.3333,53.035,-1.07,25.556,80.372,4
138.55,611.55,144,6.8844,8.2255,1.35,53.035,-1.17,25.556,112.5,4
136.43,627.64,137,6.9738,8.002,1.35,53.035,-1.27,25.556,175.62,4
129.29,627.64,132,7.0185,8.4937,1.3667,53.035,-1.47,25.556,435.52,4
116.17,643.74,132,7.1079,7.3314,1.3833,53.645,-1.48,25.556,555.07,4
109.02,643.74,127,7.0632,6.9738,1.3833,53.645,-1.28,25.556,613.74,4
88.88,659.83,127,7.0632,7.555,1.2333,53.645,-1.18,25.556,633.33,4
0.73,659.83,127,6.9291,7.0632,0.48333,53.645,-0.99,25.556,606.41,4
0,659.83,127,6.3927,7.242,0,53.645,-1.49,25.556,557.1,3
0,675.92,127,5.4986,6.8397,0,53.645,-1.79,25.556,690.32,3
0,675.92,121,4.6492,7.5997,0,53.645,-1.59,25.556,765.4,3
18.18,675.92,121,4.6939,8.3149,0.46667,53.645,-1.79,25.556,824.41,3
90.08,692.02,117,5.0068,8.0467,1,53.035,-1.4,25.556,866.22,3
199.94,692.02,110,5.6774,7.5997,1.1,53.035,-1,25.556,840.72,3
176.78,692.02,108,6.035,7.9573,1.1667,53.035,-1.31,25.556,783.31,3
170.72,708.11,108,6.2138,8.8514,1.2167,53.035,-1.11,25.556,683.72,3
158.51,708.11,108,6.348,9.656,1.25,53.035,-1.01,25.556,517.03,3
151.29,724.2,108,6.3927,9.2984,1.25,53.035,-1.22,25.556,284.71,3
154.03,724.2,108,6.5268,8.8514,1.2667,53.035,-1.22,25.556,186.41,3
153.76,724.2,108,6.6162,8.2255,1.3,53.035,-1.23,25.556,133.04,3
142.47,740.3,106,6.6609,8.4043,1.3,52.73,-1.33,25.556,116.71,3
142.17,740.3,104,6.7056,8.2702,1.3167,52.73,-1.24,25.556,115.95,3
140.85,756.39,102,6.795,8.1361,1.3333,52.73,-1.04,25.556,133.21,3
135.56,756.39,101,6.795,8.3596,1.3333,52.73,-0.85,25.556,138.32,3
132.23,772.48,99,6.8397,8.5831,1.3333,52.121,-0.76,25.556,132.99,3
120.94,772.48,99,6.8397,10.103,1.3333,52.121,-0.86,25.556,120.74,3
114.64,772.48,99,6.8844,9.1196,1.35,52.121,-1.17,25.556,109.75,3
119.2,788.58,99,6.9291,8.7173,1.35,52.121,-1.28,25.556,95.809,3
116.94,788.58,99,6.9291,8.8961,1.3667,51.511,-1.48,25.556,75.99,3
112.7,804.67,99,6.9291,8.8961,1.35,51.511,-1.39,25.556,59.452,3
122.46,804.67,98,6.9291,8.762,1.35,51.511,-1.09,25.556,43.483,3
117.2,820.76,98,6.9738,8.9408,1.3667,51.511,-1.19,25.556,50.293,3
127.72,820.76,97,7.0185,9.1196,1.35,50.902,-1,25.556,51.952,3
122.54,820.76,97,6.9738,9.0302,1.35,50.902,-1.01,25.556,53.822,3
120.36,836.86,97,6.9291,8.2255,1.35,50.902,-1.01,25.556,66.616,3
111.15,836.86,97,6.9291,9.0749,1.35,50.902,-0.92,25.556,84.182,3
112.98,852.95,97,6.8844,9.209,1.35,50.597,-1.02,25.556,93.844,3
122.78,852.95,96,6.8844,8.1808,1.35,50.597,-1.02,25.556,92.686,3
131.44,869.04,96,6.9738,7.5997,1.3667,50.597,-1.03,25.556,96.505,3
139.21,869.04,96,7.0185,8.2255,1.3833,50.597,-1.03,25.556,105.65,3
135.94,869.04,96,7.1079,8.8514,1.3833,49.987,-0.94,25.556,125.15,3
118.76,885.14,96,7.1079,9.0302,1.4,49.987,-1.14,25.556,138.82,3
114.59,885.14,105,7.1079,8.4937,1.3833,49.987,-1.04,25.556,141.68,3
109.42,901.23,105,7.1079,9.656,1.3833,49.987,-1.05,25.556,140.7,3
100.54,901.23,105,6.9738,9.2984,1.3667,49.378,-0.95,25.556,133.24,3
99.4,917.32,103,6.9738,9.4772,1.3667,49.378,-0.95,25.556,107.44,3
108.26,917.32,103,6.9738,9.2537,1.3667,49.378,-1.45,25.556,77.094,3
117.09,933.42,103,7.0185,8.4043,1.3833,49.378,-1.36,25.556,89.47,3
121.96,933.42,103,7.0185,9.0302,1.3833,49.378,-1.46,25.556,112.33,3
117.84,933.42,103,7.0185,8.9855,1.3667,49.378,-1.46,25.556,133.44,3
115.72,949.51,102,7.0185,10.55,1.3667,49.378,-1.06,25.556,144.48,3
127.67,949.51,102,6.9738,9.1196,1.3667,49.378,-0.76,25.556,142.72,3
134.63,965.6,102,6.9291,9.2984,1.35,48.768,-0.67,25.556,146.54,3
139.58,965.6,102,6.8844,10.148,1.3333,48.768,-0.47,25.556,138.93,3
146.6,981.7,100,6.795,8.8067,1.3333,48.768,-0.17,25.556,139.66,3
150.58,981.7,98,6.7503,8.0914,1.3167,48.768,-0.07,25.556,128.43,3
154.5,981.7,98,6.7503,10.014,1.3167,48.768,-0.27,25.556,104.42,3
143.32,997.79,98,6.8397,10.014,1.3333,48.768,-0.58,25.556,80.77,3
152.14,997.79,98,6.9291,9.3878,1.35,48.768,-0.88,25.556,64.145,3
155.14,1013.9,98,6.8844,8.6279,1.35,48.768,-1.08,25.556,52.378,3
162.02,1013.9,98,6.9291,9.2984,1.3667,48.158,-0.98,25.556,49.788,3
151.02,1030,97,6.8844,9.5666,1.35,48.158,-0.58,25.556,53.106,3
147.03,1030,97,6.8397,9.2984,1.3333,48.158,-0.38,25.556,52.667,3
149.98,1030,97,6.8397,9.969,1.3333,48.158,-0.38,25.556,42.307,3
151.95,1046.1,97,6.795,9.0749,1.3333,48.158,-0.28,25.556,48.897,3
157.89,1046.1,97,6.795,8.6279,1.3333,48.158,-0.18,25.556,58.13,3
152.83,1062.2,97,6.795,9.5219,1.3167,48.158,-0.29,25.556,58.363,3
154.7,1062.2,102,6.8397,9.7454,1.3333,48.158,-0.49,25.556,58.234,3
161.51,1062.2,102,6.9291,9.209,1.3667,48.158,-0.69,25.556,65.407,3
164.3,1078.3,102,7.0185,9.0749,1.3667,48.158,-0.99,25.556,92.718,3
162.2,1078.3,102,6.9738,8.449,1.3667,48.158,-0.79,25.556,113.23,3
151.18,1094.4,102,6.9291,7.9573,1.3667,48.158,-0.6,25.556,121.78,3
143.08,1094.4,102,6.9291,8.9855,1.35,48.158,-0.3,25.556,128.78,3
134.01,1110.4,101,6.8844,9.2984,1.35,48.158,-0.4,25.556,138.18,3
132.91,1110.4,100,6.8844,8.1361,1.3333,48.158,-0.4,25.556,128.54,3
134.87,1110.4,99,6.8397,8.7173,1.3333,48.158,-0.4,25.556,105.91,3
134.9,1126.5,98,6.7503,8.3149,1.3167,48.158,-0.31,25.556,84.499,3
128.73,1126.5,98,6.7503,8.6279,1.3167,48.158,-0.41,26.111,140.8,3
133.49,1142.6,98,6.8397,8.002,1.3333,48.158,-0.71,26.111,421.55,3
130.25,1142.6,97,6.9291,7.4208,1.35,48.158,-0.81,26.111,545.73,3
119.14,1158.7,97,6.9291,7.3314,1.35,48.158,-1.02,26.111,615.76,3
92.1,1158.7,96,6.8844,7.4655,0.86667,48.158,-0.92,26.111,647.01,3
0,1158.7,96,6.7056,7.6891,0.2,48.158,-0.52,26.111,646.24,3
0,1174.8,95,6.4374,7.4208,0,48.158,-0.62,26.111,622.73,3
0,1174.8,95,5.9903,7.0185,0,48.158,-0.43,26.111,545.17,3
0,1190.9,93,5.6327,6.8397,0,48.158,-0.43,26.111,456.93,3
0,1190.9,93,5.5433,6.795,0,48.158,-0.93,26.111,468.55,3
0,1190.9,93,5.5433,8.1808,0,48.158,-1.53,26.111,580.59,3
29.47,1207,100,5.6327,9.2537,0.96667,48.158,-1.83,26.111,658.2,3
69.99,1207,100,5.8562,7.3314,1.15,48.158,-2.44,26.111,691.79,3
124.49,1207,100,6.0797,4.9621,1.1833,48.158,-2.34,26.111,694.98,3
152.45,1223.1,100,6.0797,5.8115,1.1833,48.158,-1.24,26.111,663.83,3
148.42,1223.1,100,6.035,6.3032,1.1833,48.158,-0.54,26.111,593.51,3
147.39,1223.1,98,5.9903,6.3927,1.1667,48.158,0.66,26.111,455.07,3
152.29,1239.2,98,5.9903,5.2304,1.1667,48.158,1.35,26.111,288.62,3
156.1,1239.2,98,6.035,4.6939,1.1833,48.158,1.45,26.111,122.38,3
164,1255.3,97,6.035,4.6939,1.1833,48.768,1.85,26.111,67.945,3
167.9,1255.3,97,6.035,3.8892,1.1833,48.768,2.25,26.111,67.216,3
162.8,1255.3,96,6.035,5.3645,1.1667,48.768,2.24,26.111,80.368,3
158.95,1271.4,96,5.9456,5.6774,1.1667,48.768,2.74,26.111,98.771,3
157.94,1271.4,96,5.9009,5.588,1.15,49.378,2.74,26.111,148.53,3
161.02,1271.4,96,5.8115,6.0797,1.1333,49.378,2.64,26.111,196.41,3
176.03,1287.5,97,5.7668,5.2304,1.1333,49.378,3.14,26.111,240.35,3
185.13,1287.5,97,5.6774,6.348,1.1167,49.378,3.14,26.111,283.09,3
203.04,1303.6,97,5.7221,5.8562,1.1167,49.378,3.34,26.111,296.12,3
213.96,1303.6,98,5.7221,6.0797,1.1167,49.378,3.43,26.111,292.55,3
221.81,1303.6,99,5.7668,5.7221,1.1167,49.378,3.53,26.111,261.52,3
231.74,1319.7,99,5.7668,5.0962,1.1333,49.378,3.63,26.111,204.03,3
228.59,1319.7,100,5.8115,4.6939,1.1333,51.206,3.63,26.111,161.4,3
233.62,1319.7,101,5.7668,4.4257,1.1333,51.206,4.03,26.111,116.43,3
230.62,1335.8,102,5.7668,5.0515,1.1333,51.206,3.93,26.111,100.96,3
224.47,1335.8,104,5.8115,5.3645,1.1333,51.206,3.73,26.111,102.4,3
201.68,1335.8,105,5.6774,5.2304,1.1667,51.511,3.92,25.556,110.5,3
214.63,1351.8,106,5.6774,4.7833,1.1833,51.511,3.72,25.556,121.22,3
228.38,1351.8,107,5.7668,4.6492,1.2,51.511,3.82,25.556,136.78,3
235.31,1351.8,109,5.8115,4.6492,1.2,51.511,4.02,26.111,142.61,3
239.08,1367.9,109,5.9009,5.2751,1.2167,52.121,3.82,26.111,142.93,3
242.95,1367.9,110,5.9456,5.4986,1.2333,52.121,3.82,26.111,141.56,3
247.91,1384,111,5.9456,5.1409,1.2333,52.121,3.82,26.111,103.72,3
242.87,1384,112,5.9456,4.828,1.2333,52.121,3.82,25.556,95.665,3
233.84,1384,113,5.9456,5.2304,1.2333,53.035,3.92,25.556,114.16,3
227.9,1400.1,113,5.9009,4.7833,1.2333,53.035,3.82,25.556,124.82,3
221.87,1400.1,113,5.9009,4.8727,1.2333,53.035,3.72,25.556,127.53,3
218.9,1400.1,114,5.9009,5.4539,1.2333,53.035,3.72,25.556,117.59,3
213.88,1416.2,114,5.9009,6.035,1.2333,54.254,3.52,25.556,91.566,3
215.86,1416.2,114,5.9009,7.0632,1.2333,54.254,3.52,25.556,81.398,3
216.94,1432.3,114,5.8562,8.1361,1.2167,54.254,3.62,25.556,95.451,3
222.01,1432.3,114,5.8115,7.7785,1.2167,54.254,3.32,25.556,113.24,3
229.92,1432.3,114,5.8562,6.9291,1.2167,55.169,3.31,25.556,116.49,3
238.01,1448.4,115,5.8115,6.7503,1.2167,55.169,3.42,25.556,112.18,3
242.05,1448.4,116,5.8115,5.7668,1.2,55.169,3.12,25.556,104.66,3
243.97,1448.4,116,5.8562,4.5598,1.2167,55.169,3.22,25.556,103.05,3
236.8,1464.5,117,5.9456,4.2469,1.2333,55.778,3.22,25.556,93.822,3
228.83,1464.5,117,5.9456,5.9903,1.2333,55.778,3.12,25.556,89.612,3
219.87,1464.5,117,5.9456,7.3314,1.2333,55.778,3.12,25.556,89.915,3
217.01,1480.6,117,5.9009,7.6444,1.2333,55.778,3.32,25.556,90.163,3
227.16,1480.6,118,5.8562,5.9456,1.2167,55.778,3.52,25.556,95.975,3
235.13,1496.7,118,5.9009,6.9291,1.2167,55.778,3.52,25.556,96.39,3
235.28,1496.7,118,5.8562,7.1079,1.2167,55.778,3.52,25.556,96.309,3
238.36,1496.7,118,5.8562,6.8844,1.2167,55.778,3.53,25.556,109.52,3
246.28,1512.8,119,5.9456,5.8115,1.2333,56.693,3.23,25.556,124.19,3
244.29,1512.8,119,5.9903,4.4704,1.25,56.693,3.13,25.556,151.91,3
228.32,1512.8,119,6.035,3.6657,1.25,56.693,3.13,25.556,172.41,3
215.54,1528.9,119,5.9903,1.9223,1.25,56.693,3.14,25.556,176.41,3
209.83,1528.9,119,5.9009,4.2469,1.2333,56.693,3.64,25.556,170.95,3
200.07,1528.9,119,5.8562,5.9456,1.2167,56.693,3.64,25.556,162.91,3
202.32,1545,119,5.8115,5.2304,1.2167,56.693,3.95,25.556,139.24,3
208.57,1545,119,5.7668,5.4092,1.2,56.693,4.05,25.556,112.96,3
221.65,1561.1,118,5.8115,4.3363,1.2167,57.302,3.55,25.556,108.3,3
228.68,1561.1,118,5.9009,4.7386,1.2333,57.302,3.56,25.556,121.7,3
227.78,1561.1,118,5.9456,6.6609,1.2333,57.302,3.36,25.556,133.99,3
227.92,1577.2,118,5.9456,6.7503,1.2333,57.302,3.37,25.556,114.61,3
223.11,1577.2,119,5.9456,5.6774,1.2333,58.217,3.57,25.556,85.495,3
234.25,1577.2,118,5.9009,3.7998,1.2167,58.217,3.77,25.556,55.374,3
239.51,1593.2,119,5.9009,4.2916,1.2333,58.217,3.88,25.556,51.128,3
232.64,1593.2,118,5.9456,5.4092,1.2333,58.217,3.78,25.556,54.569,3
232.84,1609.3,119,5.9456,5.4092,1.2333,58.826,3.79,25.556,58.215,3
235.04,1609.3,119,5.9456,5.6327,1.2333,58.826,3.69,25.556,53.643,3
238.24,1609.3,119,5.9456,4.4257,1.2333,58.826,3.8,25.556,52.044,3
239.44,1625.4,119,5.9456,4.3363,1.25,58.826,3.9,25.556,84.979,3
242.37,1625.4,119,6.035,3.7551,1.25,60.046,3.9,25.556,96.759,3
233.57,1625.4,118,6.035,3.621,1.25,60.046,3.81,25.556,108.11,3
223.76,1641.5,119,6.035,3.7998,1.25,60.046,3.81,25.556,120.37,3
214,1641.5,119,5.9903,4.2916,1.25,60.046,3.82,25.556,122.5,3
216.18,1641.5,119,5.9903,3.7551,1.25,60.655,3.72,25.556,113.2,3
215.22,1657.6,119,5.9903,4.1575,1.25,60.655,3.82,25.556,98.812,3
211.39,1657.6,119,5.9903,5.4092,1.25,60.655,3.62,25.556,68.913,3
214.48,1673.7,120,6.035,4.381,1.25,60.655,3.53,25.556,50.586,3
224.57,1673.7,120,6.0797,3.6657,1.2667,62.484,3.63,25.556,69.966,3
224.7,1673.7,121,6.0797,4.2022,1.2667,62.484,3.43,25.556,83.08,3
216.67,1689.8,121,6.1244,4.9174,1.2833,62.484,3.23,25.556,90.265,3
212.69,1689.8,121,6.2138,4.6492,1.2833,62.484,3.14,25.556,97.244,3
199.8,1705.9,122,6.2138,4.4257,1.3,63.703,2.74,25.556,104.94,3
200.87,1705.9,122,6.2585,4.7833,1.3,63.703,2.64,25.556,104.84,3
201.87,1705.9,122,6.2585,5.4092,1.3,63.703,2.64,25.556,88.293,3
199.98,1722,122,6.2585,6.035,1.3,63.703,2.85,25.556,77.537,3
198.13,1722,123,6.2138,5.1409,1.2833,65.227,3.05,25,86.227,3
203.32,1722,123,6.1244,5.0515,1.2667,65.227,3.45,25,106,3
209.42,1738.1,123,6.035,5.4986,1.25,65.227,3.75,25,128.29,3
219.57,1738.1,123,5.9903,4.9174,1.25,65.227,4.05,25,149.71,3
221.71,1754.2,124,5.9456,4.8727,1.2333,65.227,4.05,25,151.67,3
226.66,1754.2,124,5.9903,5.9009,1.25,65.227,3.75,25,146.21,3
233.72,1754.2,125,6.035,5.4092,1.25,65.227,3.86,25,144.82,3
239.83,1770.3,125,6.035,5.588,1.25,65.227,3.56,25,150.49,3
233.83,1770.3,125,6.035,6.5715,1.25,65.837,3.56,25,151.77,3
237,1770.3,126,5.9903,6.035,1.25,65.837,3.86,25,148.16,3
251.12,1786.4,126,5.9903,5.1857,1.25,65.837,3.86,25,132.8,3
260.26,1786.4,126,5.9903,5.4986,1.25,65.837,4.07,25,119.51,3
263.23,1802.5,126,6.035,4.828,1.25,67.361,4.07,25,111.37,3
259.34,1802.5,127,6.0797,5.6774,1.25,67.361,4.07,25,113.54,3
255.53,1802.5,126,6.035,5.9009,1.25,67.361,4.07,25,94.445,3
259.56,1818.6,126,6.035,5.1409,1.25,67.361,3.98,25,59.151,3
261.73,1818.6,127,6.035,4.381,1.25,67.666,4.18,25,50.266,3
268.87,1818.6,127,6.0797,5.0515,1.2667,67.666,3.88,25,52.08,3
270,1834.6,127,6.1691,5.4092,1.2833,67.666,3.79,25,52.052,3
267.18,1834.6,127,6.2138,5.3645,1.3,67.666,3.89,25,50.379,3
269.22,1850.7,128,6.2138,5.2304,1.3,67.97,3.99,25,44.972,3
269.46,1850.7,128,6.2138,5.0068,1.2833,67.97,4.2,25,37.719,3
265.74,1850.7,128,6.1691,4.828,1.2833,67.97,4.4,25,34.525,3
261.03,1866.8,128,6.1244,4.6939,1.2833,67.97,4.51,25,34.351,3
273.3,1866.8,128,6.1244,4.3363,1.2667,68.275,4.62,25,33.823,3
268.56,1866.8,129,6.1691,3.8445,1.2833,68.275,4.62,25,35.647,3
263.89,1882.9,129,6.1244,2.7269,1.2833,68.275,4.63,25,39.531,3
266.95,1882.9,130,6.1691,2.6822,1.2833,68.275,4.73,25,44.487,3
265.28,1899,130,6.1691,2.5928,1.2833,69.494,4.74,25,44.707,3
270.61,1899,130,6.1691,3.4422,1.2833,69.494,4.95,25,36.769,3
272.97,1899,130,6.1244,4.0681,1.2833,69.494,5.25,25,37.99,3
274.31,1915.1,131,6.1244,4.0233,1.2667,69.494,5.36,25,37.753,3
271.68,1915.1,131,6.0797,4.5151,1.2667,71.323,5.37,25,79.52,3
273.04,1931.2,131,6.035,4.0681,1.25,71.323,5.48,25,133.17,3
274.4,1931.2,131,5.9903,4.1575,1.2333,71.323,5.49,25,204.77,3
271.53,1931.2,132,5.9456,3.3081,1.2333,71.323,5.39,25,262.05,3
247.89,1947.3,132,5.8115,3.6657,1.2167,71.628,5.5,25,306.52,3
235.23,1947.3,132,5.6774,3.5763,1.1667,71.628,5.31,25,366.59,3
216.55,1947.3,132,5.5433,3.6657,1.15,71.628,5.01,25,436.14,3
206.89,1963.4,132,5.588,4.0681,1.1667,71.628,4.32,25,476.14,3
198.06,1963.4,132,5.8115,4.6045,1.2,72.847,3.13,25,491.5,3
173.44,1963.4,132,5.9903,4.9621,1.25,72.847,1.73,25,455.7,4
148.87,1979.5,132,6.2585,5.9903,1.3,72.847,0.54,25,425.53,4
